strategy,solver_window_ms,user_decision_timeout_ms,time_to_deadline_ms,time_in_force,max_slippage_bps,max_gas_cost_usd,max_hops,has_whitelist,has_blacklist,has_limit_price,optimization_goal,surplus_weight,gas_cost_weight,execution_speed_weight,reputation_weight,require_simulation,input_count,output_count,input_asset_types,output_asset_types,input_value_usd,expected_output_value_usd,benchmark_source,benchmark_confidence,expected_gas_usd,expected_slippage_bps,has_nlp_input,nlp_confidence,client_platform,tag_count,actual_surplus_usd,actual_surplus_pct,actual_price_impact,primary_category,detected_priority,complexity_level,risk_level,gt_weight_surplus_usd,gt_weight_surplus_percentage,gt_weight_gas_cost,gt_weight_protocol_fees,gt_weight_total_hops,gt_weight_protocols_count,gt_weight_estimated_execution_time,gt_weight_solver_reputation_score,gt_weight_solver_success_rate
Gas-Optimized,19866,217553,6497518,good_til_cancel,53,2.071600613220234,3,True,False,False,minimize_gas,23.07,61.4,14.08,1.46,True,1,1,stable,native,912.91,913.1,dexscreener,0.907,0.65,55,True,0.886,api,3,0.59,0.0645,0.44,swap,cost,moderate,medium,0.151,0.1205,0.3309,0.0938,0.0731,0.0751,0.0535,0.0435,0.0586
Surplus-First,17004,181995,2680138,immediate,64,2.780820291736108,4,False,True,True,maximize_output,60.19,11.88,12.17,15.76,True,2,1,"native,stable","stable,volatile",16065.42,16182.46,dexscreener,0.891,1.98,42,True,0.901,telegram,0,47.81,0.2976,0.51,swap,output,moderate,high,0.293,0.2581,0.0789,0.0415,0.0205,0.0204,0.0885,0.1194,0.0797
Reputation-Trust,17441,86737,437263,good_til_cancel,63,2.6712882862559426,2,True,True,True,balanced,22.05,25.71,4.59,47.66,True,3,1,native,native,1885.85,1910.71,coingecko,0.972,1.53,54,False,0.811,mobile,1,2.92,0.1548,0.58,complex_defi,cost,complex,medium,0.1585,0.1183,0.1115,0.0714,0.0573,0.0374,0.0774,0.1712,0.197
Gas-Optimized,36619,393800,3442723,good_til_cancel,69,2.3156729388073463,2,False,False,True,minimize_gas,21.86,67.01,10.16,0.96,False,1,1,volatile,volatile,78.68,76.67,dexscreener,0.933,1.08,27,True,0.886,api,3,0.03,0.0372,0.73,limit_order,cost,simple,medium,0.1317,0.1284,0.2996,0.1014,0.0777,0.0813,0.0358,0.0889,0.0552
Reputation-Trust,18306,88516,1799426,fill_or_kill,73,2.744929483586426,3,True,False,False,maximize_output,23.94,28.85,11.35,35.87,True,1,1,volatile,volatile,5725.85,5727.39,coingecko,0.933,1.44,42,False,0.902,web,5,7.14,0.1247,0.75,swap,cost,moderate,high,0.1297,0.1067,0.1166,0.0785,0.0619,0.0597,0.1183,0.1761,0.1525
Reputation-Trust,8416,79961,1293040,good_til_cancel,69,2.530923199501664,3,False,False,False,balanced,25.12,27.13,-6.75,54.5,True,3,2,volatile,native,5784.05,5730.57,coingecko,0.971,1.59,56,False,0.935,api,1,2.3,0.0397,0.6,complex_defi,cost,moderate,high,0.1169,0.1015,0.0994,0.0643,0.0593,0.0679,0.1047,0.2399,0.1461
Reputation-Trust,17277,124098,1353224,good_til_cancel,47,2.6193105261966663,3,True,True,False,maximize_output,33.11,26.67,-11.91,52.13,True,1,1,"stable,volatile,native",volatile,2546.19,2538.35,dexscreener,0.933,1.71,47,False,0.905,web,6,1.66,0.0654,0.81,swap,output,moderate,medium,0.1436,0.1182,0.1143,0.0768,0.0641,0.0326,0.0804,0.2172,0.1528
Gas-Optimized,29186,355020,4464251,immediate,57,2.422070766539411,3,False,True,False,minimize_gas,19.19,69.39,13.96,-2.54,True,1,1,volatile,stable,394.61,396.5,dexscreener,0.804,1.29,41,True,0.788,api,3,0.31,0.0789,0.75,swap,cost,moderate,medium,0.1227,0.0953,0.296,0.1276,0.0815,0.0887,0.0578,0.0486,0.0818
Surplus-First,14588,132965,3592364,immediate,75,2.534105054721832,4,False,False,True,maximize_output,71.26,9.59,13.59,5.56,False,1,2,"native,stable",native,32968.7,33080.13,dexscreener,0.859,1.54,76,True,0.758,web,3,93.49,0.2836,0.54,complex_defi,output,moderate,high,0.2741,0.2507,0.076,0.056,0.0228,0.0395,0.0494,0.1198,0.1117
Reputation-Trust,18804,137900,410128,fill_or_kill,67,2.754304027185132,2,True,False,False,maximize_output,21.44,21.2,15.33,42.02,True,2,1,"stable,volatile,native",volatile,6200.87,6288.96,coingecko,0.903,2.13,63,True,0.951,mobile,6,2.18,0.0352,0.38,swap,output,moderate,high,0.1326,0.1441,0.0924,0.0553,0.0376,0.0608,0.0946,0.191,0.1916
Reputation-Trust,12612,170369,202533,immediate,66,2.277015514504814,2,True,True,False,maximize_output,22.87,26.39,-0.12,50.85,True,2,1,"stable,volatile,native",volatile,4567.03,4524.73,internal,0.89,1.62,29,True,0.929,mobile,4,1.39,0.0303,0.36,complex_defi,cost,moderate,medium,0.1136,0.0967,0.1118,0.0647,0.0615,0.0516,0.0787,0.2222,0.1992
Gas-Optimized,44287,210291,3376831,good_til_cancel,59,2.0059076511702085,2,False,False,False,minimize_gas,27.45,60.91,7.67,3.98,False,1,1,volatile,native,358.75,355.37,coingecko,0.926,1.02,31,False,0.793,telegram,2,0.19,0.054,0.43,swap,cost,simple,medium,0.1173,0.1131,0.3195,0.1277,0.0933,0.0667,0.0433,0.0735,0.0456
Gas-Optimized,34929,109504,1898285,immediate,46,2.2023992236608927,2,True,True,False,minimize_gas,18.93,59.02,5.91,16.14,True,1,1,stable,native,848.76,840.81,internal,0.864,1.7,47,True,0.764,api,3,0.65,0.077,0.75,swap,cost,moderate,medium,0.1475,0.0883,0.3002,0.1249,0.1064,0.0489,0.0432,0.0482,0.0924
Surplus-First,29843,112155,2719500,good_til_cancel,99,2.642304365914721,4,False,False,True,maximize_output,68.24,8.51,11.8,11.46,False,2,2,volatile,volatile,17534.94,17633.55,dexscreener,0.905,2.42,55,True,0.72,api,1,22.51,0.1284,0.63,complex_defi,output,moderate,high,0.2834,0.23,0.0616,0.0657,0.0383,0.0425,0.0772,0.1028,0.0985
Surplus-First,10929,81292,490680,immediate,91,2.605404189850982,4,True,False,False,maximize_output,76.85,10.64,13.25,-0.74,False,2,1,"stable,volatile",native,30454.38,30397.78,internal,0.858,2.16,60,False,0.751,mobile,2,80.82,0.2654,0.46,complex_defi,output,moderate,high,0.3482,0.2134,0.0686,0.0582,0.0296,0.0341,0.0635,0.0975,0.0869
Reputation-Trust,19255,77953,1628011,immediate,65,2.71434433338096,3,False,True,False,balanced,28.81,28.61,0.06,42.53,True,3,2,"stable,volatile,native",stable,9693.01,9818.83,coingecko,0.964,1.95,26,True,0.841,web,4,14.16,0.1461,0.8,complex_defi,output,complex,high,0.1041,0.0925,0.0976,0.0901,0.0608,0.0617,0.1126,0.233,0.1476
Gas-Optimized,41713,370394,2228819,immediate,80,2.1756912918008458,3,True,False,True,minimize_gas,17.19,51.27,6.6,24.94,False,1,1,stable,stable,132.1,129.14,dexscreener,0.873,1.38,24,True,0.892,api,3,0.09,0.0703,0.79,limit_order,cost,moderate,medium,0.1076,0.0769,0.3201,0.093,0.0972,0.0921,0.0711,0.0764,0.0656
Gas-Optimized,34640,159772,801551,immediate,66,2.1399658678779723,2,False,True,True,minimize_gas,19.29,62.13,9.35,9.23,False,1,1,volatile,native,693.32,693.7,coingecko,0.936,1.9,43,True,0.89,web,0,0.24,0.0341,0.6,limit_order,cost,moderate,medium,0.1126,0.097,0.3244,0.122,0.11,0.0732,0.0283,0.0804,0.0521
Surplus-First,14315,145968,2070084,immediate,92,2.5726104996329866,3,False,True,True,maximize_output,70.4,10.77,13.84,4.99,True,1,1,stable,volatile,33583.64,33129.43,dexscreener,0.852,2.22,52,True,0.857,telegram,3,100.14,0.2982,0.53,limit_order,output,moderate,high,0.2675,0.2363,0.0845,0.0608,0.0343,0.0292,0.0967,0.0901,0.1006
Gas-Optimized,40413,294873,2076481,good_til_cancel,78,2.3224376670512816,3,False,False,True,minimize_gas,20.27,62.45,6.54,10.74,False,1,1,volatile,native,238.21,238.95,dexscreener,0.902,1.86,29,True,0.776,api,1,0.26,0.1109,0.51,limit_order,cost,simple,medium,0.1235,0.1069,0.2617,0.1126,0.0987,0.0738,0.0652,0.0799,0.0777
Reputation-Trust,16497,48030,402147,immediate,47,2.3106156715254507,3,True,False,True,balanced,32.82,17.9,7.51,41.77,True,2,1,"stable,volatile",stable,1840.03,1841.73,dexscreener,0.937,1.87,37,False,0.9,mobile,1,3.3,0.1791,0.52,swap,output,moderate,medium,0.1409,0.1291,0.1195,0.0878,0.0511,0.0459,0.0695,0.1811,0.1751
Surplus-First,23843,137180,2871671,good_til_cancel,94,2.758484825133069,3,False,False,True,maximize_output,66.09,13.28,9.61,11.02,True,1,1,"stable,volatile","stable,volatile",20202.97,20060.31,coingecko,0.873,2.39,75,True,0.921,web,2,26.47,0.131,0.62,limit_order,output,simple,high,0.3048,0.2054,0.0823,0.0328,0.0391,0.037,0.0515,0.1229,0.1242
Gas-Optimized,40014,368180,6768291,good_til_cancel,46,2.393481128161248,2,False,True,True,minimize_gas,28.97,52.61,8.16,10.26,False,1,1,stable,native,874.63,880.98,internal,0.83,0.73,33,False,0.893,telegram,2,0.84,0.0958,0.9,limit_order,cost,moderate,medium,0.125,0.1171,0.2981,0.098,0.1081,0.0861,0.0341,0.0641,0.0694
Gas-Optimized,42179,193794,1848366,immediate,45,2.057228353845754,3,True,False,True,minimize_gas,25.3,51.67,7.92,15.1,True,1,1,stable,volatile,751.99,729.67,coingecko,0.887,0.93,48,False,0.861,api,0,0.65,0.0868,0.43,limit_order,cost,moderate,medium,0.1353,0.101,0.2903,0.1027,0.1225,0.0704,0.0401,0.0624,0.0753
Gas-Optimized,15832,313201,1610538,immediate,54,2.0132248513568545,2,True,False,True,minimize_gas,28.46,57.66,6.42,7.46,False,1,1,stable,stable,428.71,418.7,coingecko,0.809,1.54,41,False,0.752,web,2,0.2,0.0473,0.86,limit_order,cost,moderate,medium,0.0976,0.1126,0.2978,0.1384,0.0753,0.0836,0.049,0.0718,0.0739
Surplus-First,18461,273070,1410084,good_til_cancel,78,2.534699240668572,3,False,True,False,maximize_output,61.25,8.89,14.96,14.91,True,1,2,volatile,stable,14225.73,14460.52,internal,0.884,1.55,34,False,0.894,web,3,12.41,0.0872,0.62,complex_defi,output,moderate,high,0.2964,0.23,0.0547,0.0561,0.0407,0.0321,0.0654,0.1259,0.0987
Gas-Optimized,38311,133554,3575538,immediate,41,2.310931097310214,3,False,False,False,minimize_gas,29.42,63.38,8.21,-1.01,True,1,1,volatile,native,801.42,808.86,coingecko,0.873,1.86,23,True,0.869,telegram,3,1.2,0.1495,0.6,swap,cost,simple,medium,0.1044,0.1284,0.3138,0.1311,0.0887,0.0443,0.0632,0.0827,0.0434
Reputation-Trust,19115,90216,633990,fill_or_kill,71,2.526995517814324,2,False,True,False,balanced,34.9,17.98,-7.03,54.16,True,3,1,native,native,8710.08,8741.57,dexscreener,0.948,2.12,33,True,0.811,api,4,13.71,0.1574,0.82,complex_defi,output,moderate,high,0.1241,0.1297,0.113,0.0866,0.0346,0.0366,0.1122,0.162,0.2012
Surplus-First,24559,159681,818395,immediate,80,2.850934107427028,3,True,False,False,maximize_output,76.72,5.48,6.16,11.64,True,2,1,"stable,volatile",stable,5851.62,5854.33,internal,0.865,1.67,36,False,0.75,mobile,2,15.09,0.2579,0.79,complex_defi,output,moderate,high,0.3189,0.2285,0.0517,0.0546,0.0261,0.0478,0.0662,0.0798,0.1264
Surplus-First,23753,197567,1198021,immediate,61,2.915274545750552,3,False,False,False,maximize_output,68.1,7.98,12.12,11.79,True,1,2,"stable,volatile","stable,volatile",3928.32,3924.47,internal,0.952,2.95,57,False,0.928,telegram,0,7.47,0.1902,0.75,complex_defi,output,moderate,medium,0.2457,0.2478,0.0718,0.0339,0.0363,0.0407,0.0789,0.1254,0.1195
Reputation-Trust,13234,75558,1101163,fill_or_kill,64,2.2593423441066567,3,False,False,True,balanced,33.57,25.45,4.63,36.35,True,3,2,volatile,native,8041.22,8047.19,internal,0.889,1.88,32,True,0.904,api,5,10.38,0.1291,0.65,complex_defi,output,moderate,high,0.1328,0.1019,0.1015,0.0848,0.0402,0.046,0.0871,0.2071,0.1986
Surplus-First,20636,117948,567271,immediate,96,2.856016802077428,4,False,False,False,maximize_output,72.7,5.97,7.25,14.08,False,1,2,native,native,39617.78,39374.32,dexscreener,0.87,2.78,61,True,0.833,mobile,5,58.44,0.1475,0.5,complex_defi,output,moderate,high,0.2985,0.2427,0.0509,0.0513,0.0468,0.0212,0.0825,0.1105,0.0956
Surplus-First,12580,148545,2970685,immediate,77,2.700369794005094,3,False,True,False,maximize_output,72.76,13.82,8.82,4.6,True,1,2,native,volatile,48853.74,49233.35,coingecko,0.899,2.21,78,False,0.769,mobile,2,85.68,0.1754,0.32,complex_defi,output,moderate,high,0.2998,0.2257,0.0665,0.0313,0.0271,0.045,0.0857,0.1027,0.1162
Reputation-Trust,13798,179771,596550,fill_or_kill,68,2.7235485461399014,4,True,False,True,maximize_output,28.05,27.34,-1.37,45.98,True,3,2,"stable,volatile,native",volatile,4405.55,4449.22,coingecko,0.902,2.47,44,False,0.838,web,6,7.4,0.1679,0.59,complex_defi,output,complex,high,0.1342,0.0831,0.1164,0.0767,0.0412,0.0569,0.1039,0.2129,0.1747
Gas-Optimized,25531,118481,4401187,immediate,51,2.431449248006706,2,True,False,True,minimize_gas,24.1,55.86,13.58,6.46,True,1,1,volatile,native,315.28,308.61,internal,0.841,1.84,48,False,0.852,api,1,0.09,0.0276,0.97,limit_order,cost,moderate,medium,0.1466,0.1123,0.323,0.1141,0.0765,0.0488,0.0266,0.0772,0.0749
Gas-Optimized,31073,152913,5313158,good_til_cancel,66,2.351213963042416,2,False,False,True,minimize_gas,27.25,69.9,14.3,-11.45,False,1,1,volatile,stable,126.09,125.0,internal,0.892,0.76,57,False,0.777,mobile,1,0.18,0.1464,0.45,limit_order,cost,simple,medium,0.1342,0.1221,0.2742,0.1487,0.1014,0.0423,0.0366,0.0737,0.0668
Surplus-First,20120,207074,3005995,good_til_cancel,91,2.7796764116181136,3,True,True,False,maximize_output,77.32,12.07,10.72,-0.11,True,1,1,stable,native,32472.87,32845.34,coingecko,0.958,2.76,67,False,0.721,api,3,64.04,0.1972,0.55,swap,output,moderate,high,0.3252,0.2216,0.0559,0.0295,0.0339,0.0298,0.0517,0.1407,0.1117
Surplus-First,11341,116970,1487060,good_til_cancel,53,2.7441832211085466,3,False,False,True,maximize_output,65.77,13.0,5.16,16.08,True,2,1,native,native,15530.46,15707.67,internal,0.936,2.65,39,True,0.878,mobile,5,15.4,0.0992,0.59,swap,output,moderate,high,0.266,0.1937,0.0921,0.0405,0.0385,0.0301,0.0667,0.1366,0.1358
Reputation-Trust,11744,147834,1545102,fill_or_kill,75,2.570005933808022,3,True,True,True,balanced,25.87,20.77,14.17,39.18,True,2,2,"native,stable",native,8133.48,8066.55,internal,0.9,2.03,64,True,0.915,mobile,1,13.95,0.1715,0.6,complex_defi,output,complex,high,0.1187,0.1303,0.1002,0.0882,0.0574,0.0327,0.0844,0.1853,0.2028
Gas-Optimized,44263,251616,5825317,good_til_cancel,63,2.2214061341811826,3,True,False,False,minimize_gas,24.6,68.28,8.69,-1.57,True,1,1,stable,native,521.57,515.93,coingecko,0.821,1.72,49,False,0.75,web,0,0.63,0.12,0.88,swap,cost,moderate,medium,0.1277,0.0748,0.2737,0.1564,0.1225,0.0703,0.0317,0.0632,0.0797
Surplus-First,22851,216720,1797902,immediate,68,2.5482666165341827,3,False,False,False,maximize_output,64.64,7.92,9.85,17.59,False,1,2,stable,volatile,15354.98,15333.32,dexscreener,0.936,2.02,55,True,0.893,telegram,3,30.75,0.2003,0.64,complex_defi,output,moderate,high,0.2569,0.2304,0.0617,0.0737,0.0328,0.0375,0.0672,0.1293,0.1105
Reputation-Trust,8078,108357,1359077,immediate,47,2.4530260762767817,3,False,False,True,maximize_output,30.0,29.54,-12.99,53.44,True,1,1,"stable,volatile,native",stable,6422.37,6361.34,coingecko,0.882,1.28,60,True,0.85,mobile,2,11.59,0.1804,0.42,limit_order,output,simple,high,0.1281,0.0988,0.1261,0.0791,0.0402,0.0336,0.0933,0.2167,0.1841
Surplus-First,23445,267786,1639657,immediate,80,2.936752921846405,3,False,True,False,maximize_output,72.98,6.3,10.94,9.78,False,1,1,"stable,volatile",native,38496.56,38006.72,dexscreener,0.973,2.83,44,True,0.937,mobile,0,113.0,0.2935,0.4,swap,output,moderate,high,0.3164,0.2143,0.0692,0.0508,0.0275,0.0224,0.0676,0.1446,0.0872
Reputation-Trust,9061,129670,1669176,good_til_cancel,62,2.502654551116126,3,True,True,True,balanced,21.03,26.62,16.65,35.69,True,2,2,native,volatile,1598.31,1578.89,coingecko,0.9,1.36,45,False,0.913,mobile,6,1.3,0.0815,0.58,complex_defi,cost,complex,medium,0.1581,0.0835,0.138,0.0941,0.0373,0.0571,0.082,0.1875,0.1624
Surplus-First,25201,135047,2185154,good_til_cancel,61,2.7000271800473623,3,False,False,True,maximize_output,67.84,13.59,9.95,8.62,True,2,2,"stable,volatile","stable,volatile",27013.54,26677.36,coingecko,0.93,1.71,69,True,0.85,telegram,0,35.46,0.1313,0.42,complex_defi,output,moderate,high,0.2822,0.2272,0.0501,0.0446,0.0389,0.0428,0.076,0.1091,0.1291
Reputation-Trust,15403,59937,1381939,good_til_cancel,47,2.2777416836633497,4,True,True,False,balanced,20.49,21.16,22.81,35.54,True,2,2,"native,stable",volatile,4962.14,4995.02,dexscreener,0.936,1.48,40,False,0.862,mobile,1,7.87,0.1585,0.58,complex_defi,speed,complex,high,0.1532,0.1121,0.1389,0.0661,0.0348,0.0405,0.0786,0.1744,0.2014
Gas-Optimized,43275,105910,1301571,immediate,50,2.3787792613439187,2,False,True,False,minimize_gas,26.63,65.6,11.91,-4.14,True,1,1,native,volatile,777.21,774.02,coingecko,0.918,1.62,58,True,0.872,telegram,2,0.54,0.0693,0.47,swap,cost,moderate,medium,0.1462,0.1058,0.317,0.1021,0.0726,0.0766,0.0507,0.0666,0.0624
Gas-Optimized,38626,100226,6083026,good_til_cancel,73,2.236052044339461,3,False,True,True,minimize_gas,22.54,61.39,9.8,6.27,True,1,1,native,native,460.39,462.95,coingecko,0.807,0.91,38,False,0.911,telegram,1,0.45,0.0982,0.96,limit_order,cost,moderate,medium,0.1149,0.0868,0.2925,0.117,0.1253,0.0613,0.0663,0.051,0.0849
Gas-Optimized,26446,200407,6415986,immediate,72,2.17868213424331,2,True,True,True,minimize_gas,22.59,60.37,10.69,6.35,True,1,1,stable,native,890.58,898.71,coingecko,0.938,1.47,56,False,0.769,web,2,1.15,0.1286,0.5,limit_order,cost,moderate,medium,0.0989,0.1109,0.3303,0.1435,0.0691,0.0487,0.0499,0.0754,0.0733
Reputation-Trust,15375,94173,1252083,immediate,66,2.402876452256968,2,True,True,True,maximize_output,21.28,20.73,9.06,48.93,True,3,2,"native,stable",native,7692.24,7748.48,dexscreener,0.958,1.42,56,True,0.842,api,2,2.67,0.0347,0.39,complex_defi,output,complex,high,0.17,0.1174,0.1173,0.0674,0.0416,0.0342,0.0912,0.1933,0.1676
Gas-Optimized,33429,98614,6385868,good_til_cancel,46,2.2825794812140066,2,False,False,True,minimize_gas,22.4,60.65,9.31,7.64,True,1,1,native,native,770.98,764.35,dexscreener,0.811,1.52,55,False,0.872,mobile,1,0.37,0.0484,0.46,limit_order,cost,simple,medium,0.098,0.1173,0.2772,0.1458,0.1016,0.0768,0.0607,0.0444,0.0782
Gas-Optimized,21060,206930,3069871,good_til_cancel,67,2.2021060867753444,2,True,True,False,minimize_gas,17.63,53.89,6.9,21.58,True,1,1,native,volatile,976.11,951.42,internal,0.946,0.55,48,True,0.877,telegram,1,0.86,0.0876,0.53,swap,cost,moderate,medium,0.1291,0.1027,0.2826,0.1005,0.1232,0.0479,0.0629,0.0739,0.0772
Surplus-First,23251,284028,2196669,good_til_cancel,56,2.73102162443812,3,True,True,True,maximize_output,65.2,14.91,5.31,14.58,True,1,1,"stable,volatile",native,34020.58,34274.08,internal,0.861,2.38,34,True,0.949,mobile,5,54.72,0.1609,0.36,limit_order,output,moderate,high,0.3081,0.2561,0.0603,0.0291,0.0306,0.0227,0.0712,0.1245,0.0974
Gas-Optimized,37386,188018,3064850,good_til_cancel,41,2.334332187043901,3,True,False,False,minimize_gas,25.14,54.58,8.4,11.88,False,1,1,native,volatile,433.12,430.1,dexscreener,0.876,1.88,34,True,0.813,mobile,2,0.27,0.0631,0.98,swap,cost,moderate,medium,0.1258,0.1267,0.2806,0.1421,0.0757,0.0773,0.0301,0.0849,0.0568
Gas-Optimized,36768,98922,5493419,immediate,59,2.370953909394491,3,True,True,False,minimize_gas,17.13,65.11,12.33,5.44,True,1,1,stable,volatile,608.33,594.52,dexscreener,0.894,0.97,34,True,0.83,web,3,0.6,0.0983,0.58,swap,cost,moderate,medium,0.124,0.1268,0.3152,0.1043,0.0893,0.0725,0.0508,0.0579,0.0592
Surplus-First,22262,207182,3015149,immediate,69,2.842206567928584,4,True,False,False,maximize_output,67.94,6.02,10.12,15.92,False,2,2,native,volatile,41303.39,40725.02,coingecko,0.967,2.71,68,False,0.865,mobile,5,23.28,0.0564,0.55,complex_defi,output,complex,high,0.2498,0.2597,0.0627,0.0597,0.0335,0.0445,0.0811,0.0929,0.1161
Reputation-Trust,9385,54996,1617966,fill_or_kill,72,2.294069887687888,4,True,False,True,balanced,33.24,20.59,6.19,39.97,True,2,1,"stable,volatile",volatile,6539.59,6565.2,internal,0.975,2.4,63,True,0.862,mobile,1,12.08,0.1846,0.46,swap,output,moderate,high,0.1329,0.1382,0.0919,0.0768,0.0576,0.055,0.0944,0.2164,0.1368
Surplus-First,22278,243400,773794,immediate,84,2.711890658270024,3,False,True,False,maximize_output,65.09,10.89,9.9,14.12,False,2,2,stable,stable,22254.03,22558.0,internal,0.954,1.58,80,True,0.763,telegram,2,46.67,0.2097,0.65,complex_defi,output,moderate,high,0.2913,0.2299,0.0657,0.0358,0.0285,0.0173,0.0839,0.1241,0.1235
Gas-Optimized,37738,265431,7144557,immediate,55,2.1298541203365717,3,False,True,False,minimize_gas,25.19,57.87,6.76,10.18,True,1,1,volatile,native,547.15,546.98,internal,0.889,1.17,36,True,0.803,telegram,3,0.43,0.0785,0.84,swap,cost,moderate,medium,0.1272,0.129,0.3185,0.1157,0.089,0.0654,0.0308,0.0776,0.0468
Reputation-Trust,16230,141177,1171935,immediate,51,2.328603444699168,4,False,False,True,maximize_output,34.66,18.93,-7.86,54.26,True,2,2,stable,volatile,3165.52,3156.9,coingecko,0.962,1.17,32,True,0.804,api,5,1.41,0.0447,0.7,complex_defi,output,moderate,high,0.1245,0.0974,0.1076,0.0515,0.0581,0.0413,0.0752,0.2207,0.2237
Gas-Optimized,16562,174395,5343098,good_til_cancel,56,2.0113675348359306,3,False,True,True,minimize_gas,22.11,62.51,8.84,6.54,True,1,1,native,stable,517.49,503.81,coingecko,0.943,0.97,30,True,0.809,api,0,0.42,0.0807,0.96,limit_order,cost,moderate,medium,0.119,0.0818,0.3465,0.1497,0.1105,0.0468,0.0331,0.0598,0.0528
Gas-Optimized,42146,95795,1211349,immediate,53,2.4926841012369207,3,True,True,False,minimize_gas,18.27,56.56,11.33,13.84,True,1,1,native,stable,199.32,197.0,internal,0.828,0.59,31,True,0.787,mobile,2,0.13,0.063,0.46,swap,cost,moderate,medium,0.0876,0.1169,0.309,0.131,0.1233,0.0796,0.028,0.0538,0.0708
Surplus-First,13581,209780,3360703,good_til_cancel,80,2.862037068935686,4,False,False,False,maximize_output,70.49,11.96,11.12,6.43,False,1,2,"native,stable","stable,volatile",26589.11,26581.14,coingecko,0.965,1.85,48,True,0.7,web,3,54.87,0.2064,0.36,complex_defi,output,moderate,high,0.3073,0.2571,0.0918,0.0466,0.0276,0.0338,0.0752,0.0742,0.0864
Reputation-Trust,11288,132266,433938,good_til_cancel,55,2.497048207539378,3,True,False,True,maximize_output,25.01,26.23,-1.67,50.42,True,2,2,native,native,9395.09,9507.45,coingecko,0.913,1.62,27,True,0.913,telegram,6,7.85,0.0835,0.44,complex_defi,cost,moderate,high,0.1527,0.1294,0.115,0.077,0.0354,0.0474,0.0756,0.2188,0.1487
Reputation-Trust,15541,115991,594838,fill_or_kill,71,2.2927342132662227,3,False,False,False,balanced,23.69,18.63,21.55,36.14,True,3,2,volatile,"stable,volatile",8205.42,8080.96,internal,0.968,2.01,38,True,0.812,mobile,3,3.99,0.0486,0.38,complex_defi,output,moderate,high,0.147,0.1525,0.0898,0.0524,0.0485,0.0478,0.0855,0.1935,0.183
Surplus-First,17174,292097,1398902,good_til_cancel,71,2.923767091909442,3,True,True,True,maximize_output,79.51,6.99,7.84,5.66,True,2,1,stable,volatile,18315.51,18226.8,coingecko,0.894,1.82,59,True,0.792,api,5,17.0,0.0928,0.56,complex_defi,output,complex,high,0.3233,0.1977,0.0548,0.073,0.042,0.0247,0.066,0.1017,0.1168
Reputation-Trust,15337,49083,393121,good_til_cancel,66,2.786308184094989,4,True,False,False,balanced,28.89,25.41,6.53,39.17,True,1,1,native,volatile,3162.14,3151.52,internal,0.952,2.48,50,True,0.858,api,5,5.43,0.1717,0.67,swap,output,moderate,high,0.1232,0.126,0.0959,0.1001,0.0339,0.0533,0.1135,0.2185,0.1356
Surplus-First,26629,152923,819309,good_til_cancel,98,2.8254812096854414,3,False,False,True,maximize_output,62.21,5.6,8.73,23.46,False,2,1,"native,stable",volatile,49354.26,49058.8,dexscreener,0.937,2.72,66,True,0.879,mobile,0,65.13,0.132,0.59,complex_defi,output,moderate,high,0.3197,0.2322,0.0771,0.0547,0.0246,0.0354,0.0611,0.1028,0.0924
Gas-Optimized,42414,117892,4460763,immediate,71,2.295531464502902,2,False,True,False,minimize_gas,18.36,66.42,7.69,7.53,True,1,1,native,native,977.67,982.27,coingecko,0.81,1.03,37,False,0.911,web,3,0.74,0.076,0.86,swap,cost,moderate,medium,0.0997,0.097,0.3298,0.1124,0.116,0.0587,0.0375,0.081,0.0679
Surplus-First,26821,214937,3339252,immediate,64,2.857145164388063,3,False,False,True,maximize_output,79.98,5.37,9.0,5.65,False,2,2,stable,"stable,volatile",36688.39,36868.45,internal,0.895,2.55,31,True,0.772,mobile,3,49.88,0.136,0.42,complex_defi,output,moderate,high,0.2561,0.274,0.0631,0.0566,0.0426,0.0374,0.0533,0.0947,0.1222
Gas-Optimized,23512,96311,1173894,immediate,53,2.1619709684053032,2,True,False,False,minimize_gas,29.59,56.18,6.89,7.34,True,1,1,native,native,964.71,950.24,dexscreener,0.891,0.88,57,False,0.897,api,3,0.38,0.0393,0.43,swap,cost,moderate,medium,0.0911,0.078,0.3378,0.1372,0.119,0.0742,0.0496,0.0475,0.0656
Reputation-Trust,18404,106126,347832,fill_or_kill,69,2.4834514756216297,2,True,True,True,balanced,31.99,21.83,-7.44,53.62,True,2,2,"stable,volatile,native","stable,volatile",8459.36,8388.86,coingecko,0.97,1.4,46,True,0.925,mobile,5,6.58,0.0778,0.62,complex_defi,output,complex,high,0.1005,0.1012,0.1383,0.0657,0.0587,0.0588,0.096,0.2272,0.1536
Gas-Optimized,26055,185985,6031433,immediate,63,2.1228169068382314,3,True,False,False,minimize_gas,23.97,54.94,11.33,9.75,True,1,1,native,volatile,326.89,318.02,coingecko,0.945,1.72,45,True,0.761,telegram,3,0.26,0.0791,0.99,swap,cost,moderate,medium,0.1327,0.0898,0.3224,0.1048,0.0755,0.0645,0.0715,0.0721,0.0667
